,Epoch,Loss Type,Loss Value
6258,0.342857143,G_loss,1.7717
108,0.346031746,D_loss,0.168
6259,0.346031746,G_loss,3.188
109,0.349206349,D_loss,0.3626
6260,0.349206349,G_loss,3.2881
110,0.352380952,D_loss,0.0893
6261,0.352380952,G_loss,3.6871
111,0.355555556,D_loss,0.1019
6262,0.355555556,G_loss,3.8545
112,0.358730159,D_loss,0.2148
6263,0.358730159,G_loss,3.4946
113,0.361904762,D_loss,0.5075
6264,0.361904762,G_loss,2.0746
114,0.365079365,D_loss,0.0676
6265,0.365079365,G_loss,3.7154
115,0.368253968,D_loss,0.4719
6266,0.368253968,G_loss,3.9163
116,0.371428571,D_loss,0.0909
6267,0.371428571,G_loss,4.1389
117,0.374603175,D_loss,0.094
6268,0.374603175,G_loss,3.7582
118,0.377777778,D_loss,0.0652
6269,0.377777778,G_loss,3.8229
119,0.380952381,D_loss,0.0954
6270,0.380952381,G_loss,3.3867
120,0.384126984,D_loss,1.1568
6271,0.384126984,G_loss,0.7111
121,0.387301587,D_loss,0.1464
6272,0.387301587,G_loss,3.4751
122,0.39047619,D_loss,0.1447
6273,0.39047619,G_loss,3.2061
123,0.393650794,D_loss,0.1534
6274,0.393650794,G_loss,3.7537
124,0.396825397,D_loss,0.1305
6275,0.396825397,G_loss,4.6962
125,0.4,D_loss,0.9388
6276,0.4,G_loss,5.6372
126,0.403174603,D_loss,0.0885
6277,0.403174603,G_loss,4.1909
127,0.406349206,D_loss,0.2011
6278,0.406349206,G_loss,2.9582
128,0.40952381,D_loss,0.0554
6279,0.40952381,G_loss,4.1568
129,0.412698413,D_loss,0.1664
6280,0.412698413,G_loss,4.537
130,0.415873016,D_loss,0.1096
6281,0.415873016,G_loss,3.342
131,0.419047619,D_loss,0.0613
6282,0.419047619,G_loss,3.5613
132,0.422222222,D_loss,0.2887
6283,0.422222222,G_loss,5.939
133,0.425396825,D_loss,0.1244
6284,0.425396825,G_loss,4.5961
134,0.428571429,D_loss,2.201
6285,0.428571429,G_loss,1.2606
135,0.431746032,D_loss,0.0737
6286,0.431746032,G_loss,4.0165
136,0.434920635,D_loss,0.0667
6287,0.434920635,G_loss,3.9341
137,0.438095238,D_loss,0.2405
6288,0.438095238,G_loss,3.1582
138,0.441269841,D_loss,0.1692
6289,0.441269841,G_loss,3.2972
139,0.444444444,D_loss,0.1864
6290,0.444444444,G_loss,3.7479
140,0.447619048,D_loss,0.2834
6291,0.447619048,G_loss,3.3538
141,0.450793651,D_loss,0.6072
6292,0.450793651,G_loss,3.6366
142,0.453968254,D_loss,0.3716
6293,0.453968254,G_loss,3.889
143,0.457142857,D_loss,0.5041
6294,0.457142857,G_loss,3.3857
144,0.46031746,D_loss,0.4421
6295,0.46031746,G_loss,2.3956
145,0.463492063,D_loss,1.8164
6296,0.463492063,G_loss,1.6612
146,0.466666667,D_loss,1.1003
6297,0.466666667,G_loss,2.114
147,0.46984127,D_loss,1.1992
6298,0.46984127,G_loss,1.8236
148,0.473015873,D_loss,1.1975
6299,0.473015873,G_loss,0.6385
149,0.476190476,D_loss,0.7384
6300,0.476190476,G_loss,1.8717
150,0.479365079,D_loss,0.6288
6301,0.479365079,G_loss,1.9772
151,0.482539683,D_loss,0.6371
6302,0.482539683,G_loss,1.7696
152,0.485714286,D_loss,2.4619
6303,0.485714286,G_loss,1.1255
153,0.488888889,D_loss,1.0053
6304,0.488888889,G_loss,1.3203
154,0.492063492,D_loss,1.1869
6305,0.492063492,G_loss,1.0925
155,0.495238095,D_loss,1.9059
6306,0.495238095,G_loss,1.2254
156,0.498412698,D_loss,0.7031
6307,0.498412698,G_loss,1.8888
157,0.501587302,D_loss,1.091
6308,0.501587302,G_loss,1.294
158,0.504761905,D_loss,0.4349
6309,0.504761905,G_loss,2.2937
159,0.507936508,D_loss,0.9823
6310,0.507936508,G_loss,1.8641
160,0.511111111,D_loss,0.6336
6311,0.511111111,G_loss,2.004
161,0.514285714,D_loss,0.744
6312,0.514285714,G_loss,2.1386
162,0.517460317,D_loss,1.9595
6313,0.517460317,G_loss,1.9278
163,0.520634921,D_loss,1.3539
6314,0.520634921,G_loss,0.9223
164,0.523809524,D_loss,0.6793
6315,0.523809524,G_loss,1.8805
165,0.526984127,D_loss,0.6959
6316,0.526984127,G_loss,1.8595
166,0.53015873,D_loss,0.9326
6317,0.53015873,G_loss,2.1894
167,0.533333333,D_loss,0.8598
6318,0.533333333,G_loss,1.5098
168,0.536507937,D_loss,1.7241
6319,0.536507937,G_loss,0.6295
169,0.53968254,D_loss,0.888
6320,0.53968254,G_loss,1.482
170,0.542857143,D_loss,1.021
6321,0.542857143,G_loss,1.327
171,0.546031746,D_loss,1.3913
6322,0.546031746,G_loss,0.8849
172,0.549206349,D_loss,0.8771
6323,0.549206349,G_loss,1.8365
173,0.552380952,D_loss,1.1659
6324,0.552380952,G_loss,1.3892
174,0.555555556,D_loss,0.9817
6325,0.555555556,G_loss,1.3942
175,0.558730159,D_loss,0.7404
6326,0.558730159,G_loss,1.6977
176,0.561904762,D_loss,0.7324
6327,0.561904762,G_loss,1.6677
177,0.565079365,D_loss,0.9393
6328,0.565079365,G_loss,1.4672
178,0.568253968,D_loss,0.65
6329,0.568253968,G_loss,1.4671
179,0.571428571,D_loss,0.9138
6330,0.571428571,G_loss,1.5371
180,0.574603175,D_loss,0.7385
6331,0.574603175,G_loss,1.1467
181,0.577777778,D_loss,1.4403
6332,0.577777778,G_loss,1.7805
182,0.580952381,D_loss,1.0678
6333,0.580952381,G_loss,1.3956
183,0.584126984,D_loss,0.6647
6334,0.584126984,G_loss,1.6756
184,0.587301587,D_loss,0.7315
6335,0.587301587,G_loss,2.0841
185,0.59047619,D_loss,1.6482
6336,0.59047619,G_loss,2.0171
186,0.593650794,D_loss,1.1865
6337,0.593650794,G_loss,1.173
